S.No,Date,Prvs Closing,Capital Add,Opn Bal,Cash,Online,Roinet,Jio,Go2Sms,Credit,Pending,Damages,Expense,Total,Wthdrwl,Cls Bal,,,,,,,,,,,,
843,20-Sep-2025,261047,₹ 0,"₹ 2,61,047","₹ 1,77,270","₹ 34,504","₹ 17,512","₹ 4,061",₹ 321,"₹ 21,690","₹ 9,550",₹ 0,₹ 0,"₹ 2,64,908",₹ 0,"₹ 2,64,908",,,,,,,,,,,,
844,21-Sep-2025,264908,₹ 0,"₹ 2,64,908","₹ 1,99,970","₹ 31,644","₹ 2,099","₹ 1,863",₹ 321,"₹ 20,590","₹ 9,550",₹ 0,"₹ 1,100","₹ 2,67,137",₹ 0,"₹ 2,66,037",,,,,,,,,,,,
845,22-Sep-2025,266037,₹ 0,"₹ 2,66,037","₹ 1,46,710","₹ 98,013","₹ 2,508",₹ 987,₹ 321,"₹ 20,590",₹ 0,₹ 0,₹ 0,"₹ 2,69,129",₹ 0,"₹ 2,69,129",,,,,,,,,,,,
846,23-Sep-2025,269129,₹ 0,"₹ 2,69,129","₹ 1,13,280","₹ 1,32,049","₹ 4,746",₹ 740,₹ 321,"₹ 20,590",₹ 0,₹ 0,₹ 0,"₹ 2,71,726",₹ 0,"₹ 2,71,726",,,,,,,,,,,,
847,24-Sep-2025,271726,₹ 0,"₹ 2,71,726","₹ 2,09,600","₹ 33,029",₹ 646,₹ 502,₹ 321,"₹ 20,290","₹ 10,000",₹ 0,₹ 500,"₹ 2,74,888",₹ 0,"₹ 2,74,388",,,,,,,,,,,,
848,25-Sep-2025,274388,₹ 0,"₹ 2,74,388","₹ 1,38,980","₹ 94,198","₹ 12,632","₹ 3,301",₹ 321,"₹ 20,290","₹ 10,000",₹ 0,₹ 50,"₹ 2,79,772",₹ 0,"₹ 2,79,722",,,,,,,,,,,,
849,26-Sep-2025,279722,₹ 0,"₹ 2,79,722","₹ 1,88,660","₹ 61,251",₹ 593,"₹ 2,656",₹ 321,"₹ 19,790","₹ 10,000",₹ 0,₹ 0,"₹ 2,83,271",₹ 0,"₹ 2,83,271",,,,,,,,,,,,
850,27-Sep-2025,283271,₹ 0,"₹ 2,83,271","₹ 2,02,710","₹ 59,693","₹ 1,537","₹ 2,200",₹ 321,"₹ 19,790",₹ 0,₹ 0,₹ 150,"₹ 2,86,401",₹ 0,"₹ 2,86,251",,,,,,,,,,,,
851,28-Sep-2025,286251,₹ 0,"₹ 2,86,251","₹ 1,62,990","₹ 69,154","₹ 34,765","₹ 1,244",₹ 321,"₹ 19,790",₹ 0,₹ 0,₹ 0,"₹ 2,88,264",₹ 0,"₹ 2,88,264",,,,,,,,,,,,
852,29-Sep-2025,288264,₹ 0,"₹ 2,88,264","₹ 10,640","₹ 2,36,790","₹ 24,087",₹ 458,₹ 321,"₹ 19,790",₹ 250,₹ 0,₹ 0,"₹ 2,92,336",₹ 0,"₹ 2,92,336",,,,,,,,,,,,
853,30-Sep-2025,292336,₹ 0,"₹ 2,92,336","₹ 2,09,550","₹ 50,541","₹ 15,428",₹ 458,₹ 321,"₹ 19,790",₹ 100,₹ 0,₹ 100,"₹ 2,96,288","₹ 96,000","₹ 2,00,188",,,,,,,,,,,,
854,1-Oct-2025,200188,₹ 0,"₹ 2,00,188","₹ 1,57,830","₹ 19,358","₹ 3,845",₹ 232,₹ 321,"₹ 19,990",₹ 100,₹ 0,"₹ 1,000","₹ 2,02,676",₹ 0,"₹ 2,01,676",,,,,,,,,,,,
855,2-Oct-2025,201676,₹ 0,"₹ 2,01,676","₹ 49,050","₹ 1,20,155","₹ 6,720","₹ 8,408",₹ 321,"₹ 19,990",₹ 100,₹ 0,₹ 0,"₹ 2,04,744",₹ 0,"₹ 2,04,744",,,,,,,,,,,,
856,3-Oct-2025,204744,₹ 0,"₹ 2,04,744","₹ 1,65,893","₹ 11,882","₹ 2,032","₹ 7,691",₹ 321,"₹ 19,990",₹ 100,₹ 0,₹ 50,"₹ 2,07,959",₹ 0,"₹ 2,07,909",,,,,,,,,,,,
857,4-Oct-2025,207909,₹ 0,"₹ 2,07,909","₹ 1,73,040","₹ 9,349","₹ 2,147","₹ 6,665",₹ 321,"₹ 19,990",₹ 100,₹ 0,₹ 0,"₹ 2,11,612",₹ 0,"₹ 2,11,612",,,,,,,,,,,,
858,5-Oct-2025,211612,₹ 0,"₹ 2,11,612","₹ 81,360","₹ 1,04,561","₹ 1,894","₹ 5,749",₹ 321,"₹ 19,990",₹ 100,₹ 0,₹ 0,"₹ 2,13,975",₹ 0,"₹ 2,13,975",,,,,,,,,,,,
859,6-Oct-2025,213975,₹ 0,"₹ 2,13,975","₹ 1,06,390","₹ 83,951","₹ 1,916","₹ 4,518",₹ 321,"₹ 19,990",₹ 100,₹ 0,₹ 0,"₹ 2,17,186",₹ 0,"₹ 2,17,186",,,,,,,,,,,,
860,7-Oct-2025,217186,₹ 0,"₹ 2,17,186","₹ 1,14,570","₹ 77,908","₹ 3,169","₹ 2,944",₹ 321,"₹ 20,440",₹ 100,₹ 0,₹ 756,"₹ 2,20,208",₹ 0,"₹ 2,19,452",,,,,,,,,,,,
861,8-Oct-2025,219452,₹ 0,"₹ 2,19,452","₹ 1,83,800","₹ 10,244","₹ 5,032","₹ 2,327",₹ 321,"₹ 20,440",₹ 100,₹ 0,₹ 0,"₹ 2,22,264",₹ 0,"₹ 2,22,264",,,,,,,,,,,,
862,9-Oct-2025,222264,₹ 0,"₹ 2,22,264","₹ 1,24,590","₹ 71,192","₹ 7,636","₹ 2,118",₹ 321,"₹ 21,440",₹ 100,₹ 0,₹ 50,"₹ 2,27,447",₹ 0,"₹ 2,27,397",,,,CREDIT BOOK,,,,CASH CALCULATION,,,,
863,10-Oct-2025,227397,₹ 0,"₹ 2,27,397","₹ 85,190","₹ 1,03,883","₹ 2,024","₹ 1,819",₹ 321,"₹ 22,062","₹ 10,100",₹ 0,"₹ 4,720","₹ 2,30,119",₹ 0,"₹ 2,25,399",,,,S/N,NAME,AMNT,,S/N,NOTES,NOS,AMNT,
864,11-Oct-2025,225399,₹ 0,"₹ 2,25,399","₹ 85,190","₹ 1,03,883","₹ 2,024","₹ 1,819",₹ 321,"₹ 22,062","₹ 10,100",₹ 0,₹ 0,"₹ 2,25,399",₹ 0,"₹ 2,25,399",,,,1,PARSU,2000,,1,500,354,177000,
865,12-Oct-2025,225399,₹ 0,"₹ 2,25,399","₹ 93,900",₹ 493,"₹ 69,998",₹ 736,₹ 321,"₹ 64,062",₹ 100,₹ 0,₹ 0,"₹ 2,29,610",₹ 0,"₹ 2,29,610",,,,2,DALAI,5000,,2,200,67,13400,
866,13-Oct-2025,229610,₹ 0,"₹ 2,29,610","₹ 1,18,350","₹ 37,979","₹ 10,812",₹ 159,₹ 321,"₹ 64,062",₹ 100,₹ 0,₹ 0,"₹ 2,31,783",₹ 0,"₹ 2,31,783",,,,3,Manish Pandey,1500,,3,100,40,4000,
867,14-Oct-2025,231783,₹ 0,"₹ 2,31,783","₹ 1,18,570","₹ 37,535","₹ 3,273","₹ 1,792",₹ 321,"₹ 64,062","₹ 10,100",₹ 0,₹ 0,"₹ 2,35,653",₹ 0,"₹ 2,35,653",,,,4,Sandhya Shiva,5960,,4,50,3,150,
868,15-Oct-2025,235653,₹ 0,"₹ 2,35,653","₹ 1,20,020","₹ 40,229","₹ 3,010","₹ 1,037",₹ 321,"₹ 64,062","₹ 10,100",₹ 0,₹ 0,"₹ 2,38,779",₹ 0,"₹ 2,38,779",,,,5,KIT,800,,5,20,4,80,
869,16-Oct-2025,238779,₹ 0,"₹ 2,38,779","₹ 9,320","₹ 1,06,960","₹ 48,515",₹ 320,₹ 321,"₹ 67,062","₹ 10,100",₹ 0,₹ 0,"₹ 2,42,598",₹ 0,"₹ 2,42,598",,,,6,Sanjay Tongpal,670,,6,10,12,120,
870,17-Oct-2025,242598,₹ 0,"₹ 2,42,598","₹ 82,850","₹ 68,599","₹ 25,197","₹ 1,643",₹ 321,"₹ 67,062",₹ 100,₹ 0,₹ 0,"₹ 2,45,772",₹ 0,"₹ 2,45,772",,,,7,Bhadoriya,1520,,7,5,0,0,
871,18-Oct-2025,245772,₹ 0,"₹ 2,45,772","₹ 81,320","₹ 61,974","₹ 36,733","₹ 2,040",₹ 321,"₹ 67,062",₹ 100,₹ 0,₹ 0,"₹ 2,49,550",₹ 0,"₹ 2,49,550",,,,8,Jio sim,240,,8,2,0,0,
872,19-Oct-2025,249550,₹ 0,"₹ 2,49,550","₹ 39,530","₹ 1,39,544","₹ 2,660","₹ 1,264",₹ 321,"₹ 67,362",₹ 100,₹ 0,"₹ 3,100","₹ 2,53,881",₹ 0,"₹ 2,50,781",,,,9,chidpal,500,,9,1,2380,2380,
873,20-Oct-2025,250781,₹ 0,"₹ 2,50,781","₹ 41,070","₹ 1,14,119","₹ 28,475",₹ 642,₹ 321,"₹ 67,362",₹ 100,₹ 0,"₹ 3,000","₹ 2,55,089",₹ 0,"₹ 2,52,089",,,,10,Kamlesh Dohre,620,,10,TOTAL,,197130,
874,21-Oct-2025,252089,₹ 0,"₹ 2,52,089","₹ 54,810","₹ 1,16,522","₹ 25,250","₹ 1,767",₹ 321,"₹ 57,362",₹ 100,₹ 0,₹ 0,"₹ 2,56,132",₹ 0,"₹ 2,56,132",,,,11,SBI HOLD,622,,,,,,
875,22-Oct-2025,256132,₹ 0,"₹ 2,56,132","₹ 1,43,020","₹ 58,462","₹ 1,042",₹ 727,₹ 321,"₹ 57,862",₹ 100,₹ 0,₹ 0,"₹ 2,61,534",₹ 0,"₹ 2,61,534",,,,12,Navin mishra,500,,AI,,,,
